,block,schooldist,council,zipcode,bldgclass,landuse,lotarea,bldgarea,numfloors,unitstotal,assesstot,yearbuilt,longitude,latitude,Cluster
681218,1330,2.0,4.0,10022.0,RM,4.0,5649.0,60429.0,24.0,39.0,9477001.0,2004.0,-73.9670327,40.7597285,2
681222,1314,2.0,4.0,10017.0,D6,4.0,22178.0,387761.0,34.0,272.0,43612200.0,1972.0,-73.9733432,40.748957,2
681231,1398,2.0,4.0,10065.0,RM,4.0,16083.0,233269.0,42.0,196.0,44218133.0,1987.0,-73.9648427,40.7644982,3
681239,1338,2.0,4.0,10017.0,D4,3.0,22600.0,387094.0,24.0,348.0,37605600.0,1929.0,-73.9699277,40.7517667,2
681377,1562,2.0,5.0,10028.0,RM,4.0,10881.0,198774.0,27.0,122.0,24646062.0,2005.0,-73.9490095,40.7739177,2
681395,1543,2.0,5.0,10028.0,RM,4.0,23624.0,291734.0,31.0,335.0,38497515.0,1973.0,-73.9523062,40.773469,2
681781,2443,7.0,16.0,10451.0,D4,3.0,163680.0,876500.0,25.0,937.0,18861750.0,1964.0,-73.9203155,40.8236222,2
681798,723,2.0,3.0,10001.0,RM,4.0,9875.0,135533.0,22.0,170.0,17596800.0,2011.0,-74.000563,40.7480927,2
682070,1770,4.0,9.0,10035.0,D9,3.0,83092.0,358400.0,32.0,344.0,19132650.0,1974.0,-73.9396761,40.8022965,2
683278,1171,3.0,6.0,10069.0,D8,3.0,30462.0,367786.0,26.0,359.0,41168700.0,2002.0,-73.9885616,40.7769806,2
683449,1585,16.0,36.0,11206.0,D3,3.0,110000.0,225324.0,24.0,234.0,5834250.0,1951.0,-73.9395269,40.6961103,1
683738,2134,14.0,33.0,11249.0,D7,4.0,79918.0,543250.0,22.0,606.0,52735950.0,2016.0,-73.969164,40.7096757,1
689190,1569,2.0,5.0,10128.0,D4,3.0,34745.0,391194.0,33.0,262.0,35671950.0,1971.0,-73.9459804,40.7783189,2
689374,868,2.0,4.0,10016.0,O4,5.0,23414.0,383934.0,27.0,38.0,42058350.0,1954.0,-73.980597,40.7504653,0
689439,868,2.0,4.0,10016.0,O4,5.0,29130.0,531270.0,22.0,26.0,56024550.0,1952.0,-73.9812466,40.7507399,0
689469,250,13.0,33.0,11201.0,D6,4.0,10000.0,182001.0,33.0,194.0,25167150.0,1999.0,-73.9919295,40.6939027,1
689485,1113,3.0,3.0,10023.0,D8,3.0,26511.0,408644.0,34.0,324.0,46196100.0,1981.0,-73.9837106,40.7699425,2
689907,5826,20.0,38.0,11220.0,D4,3.0,199435.0,360080.0,28.0,391.0,10519200.0,1971.0,-74.0228618,40.6383217,1
689923,52,13.0,33.0,11201.0,RM,4.0,11035.0,91979.0,23.0,80.0,8718654.0,2006.0,-73.9882246,40.7017386,1
689947,264,30.0,26.0,11101.0,D6,4.0,69807.0,548716.0,54.0,651.0,50818950.0,2016.0,-73.9378882,40.748043,1
691654,2094,13.0,35.0,11201.0,D7,4.0,13626.0,335187.0,35.0,370.0,32044050.0,2011.0,-73.9799765,40.6896907,1
691730,5825,20.0,38.0,11220.0,D4,3.0,175000.0,398660.0,31.0,420.0,12764700.0,1971.0,-74.0250025,40.6396085,1
691788,263,30.0,26.0,11101.0,D6,4.0,27626.0,512815.0,43.0,551.0,47529900.0,2016.0,-73.9373285,40.7483831,1
691789,264,30.0,26.0,11101.0,D6,4.0,21647.0,519182.0,45.0,673.0,55441800.0,2015.0,-73.9384223,40.748101,1
692704,2029,5.0,9.0,10030.0,D6,4.0,29875.0,216247.0,21.0,247.0,7612650.0,1965.0,-73.9422779,40.8216975,2
693292,1552,2.0,5.0,10128.0,RM,4.0,10070.0,175111.0,31.0,157.0,27828466.0,2002.0,-73.9481462,40.7791296,2
693572,1414,2.0,4.0,10022.0,RM,4.0,8434.0,97321.0,25.0,107.0,19387335.0,2003.0,-73.9661185,40.7616276,2
694209,13,2.0,1.0,10004.0,O4,5.0,28814.0,434220.0,22.0,126.0,24669900.0,1898.0,-74.0142719,40.7052819,0
694220,21,2.0,1.0,10006.0,D5,3.0,13967.0,303086.0,23.0,245.0,35620200.0,1898.0,-74.0125122,40.7074916,2
694221,100,2.0,1.0,10038.0,RM,4.0,9400.0,160157.0,23.0,127.0,20266734.0,1895.0,-74.0059048,40.7113952,2
694232,64,2.0,1.0,10038.0,D4,3.0,5198.0,167448.0,33.0,92.0,14997600.0,1910.0,-74.0093816,40.7088423,2
694238,40,2.0,1.0,10005.0,O4,5.0,12175.0,281755.0,32.0,27.0,21757950.0,1929.0,-74.0091216,40.7064764,0
694265,44,2.0,1.0,10005.0,O4,5.0,112555.0,2224200.0,60.0,16.0,192345750.0,1964.0,-74.0091254,40.7077691,3
694266,46,2.0,1.0,10005.0,O4,5.0,14950.0,364390.0,23.0,33.0,33318900.0,1896.0,-74.01112,40.7079666,0
694276,90,2.0,1.0,10038.0,RD,3.0,12850.0,336447.0,29.0,325.0,31084721.0,1899.0,-74.0077912,40.7111727,2
694280,48,2.0,1.0,10005.0,O4,5.0,52636.0,1141276.0,50.0,78.0,126668250.0,1968.0,-74.0101174,40.7086501,3
694283,49,2.0,1.0,10006.0,O4,5.0,18615.0,432093.0,22.0,100.0,28461150.0,1905.0,-74.0116395,40.7087131,0
694395,154,2.0,1.0,10007.0,O4,5.0,43569.0,1000000.0,32.0,1.0,81296550.0,1994.0,-74.0049924,40.7147191,0
694515,192,2.0,1.0,10013.0,O4,5.0,46040.0,1092665.0,26.0,65.0,143577000.0,1914.0,-74.0046357,40.7200001,0
695825,550,2.0,1.0,10003.0,D4,3.0,12000.0,238923.0,27.0,200.0,28465650.0,1926.0,-73.9961934,40.7319068,2
697787,858,2.0,4.0,10016.0,O4,5.0,15849.0,444716.0,25.0,65.0,42084000.0,1929.0,-73.9865822,40.7449464,0
