,block,schooldist,council,zipcode,bldgclass,landuse,lotarea,bldgarea,numfloors,unitstotal,assesstot,yearbuilt,longitude,latitude,Cluster
67430,1369,2.0,5.0,10022.0,D4,3.0,8033.0,90500.0,16.0,64.0,6675300.0,1927.0,-73.9615506,40.758036,3
67432,1369,2.0,5.0,10022.0,D4,3.0,8033.0,91617.0,16.0,47.0,7989750.0,1928.0,-73.9609949,40.757802500000004,3
67435,1368,2.0,5.0,10022.0,D4,3.0,14100.0,206411.0,19.0,129.0,21483450.0,1938.0,-73.96119370000001,40.7572179,3
67436,1368,2.0,5.0,10022.0,D4,3.0,8775.0,95977.0,20.0,86.0,8138700.0,1961.0,-73.9617025,40.757451399999994,3
67443,1369,2.0,5.0,10022.0,D4,3.0,8033.0,125800.0,20.0,56.0,11660400.0,1960.0,-73.96060849999999,40.7579643,3
67457,1369,2.0,5.0,10022.0,D3,3.0,6025.0,259670.0,64.0,155.0,12433950.0,2017.0,-73.96127249999999,40.7582445,2
67478,1372,2.0,5.0,10022.0,D4,3.0,15050.0,247000.0,20.0,130.0,24966450.0,1960.0,-73.9594749,40.75830429999999,3
67487,1395,2.0,4.0,10022.0,O4,5.0,10543.0,156823.0,20.0,35.0,25380900.0,1960.0,-73.96786850000001,40.7631596,0
67492,1394,2.0,4.0,10022.0,O4,5.0,24602.0,386287.0,28.0,41.0,64124100.0,1986.0,-73.9682622,40.7626684,0
67494,1396,2.0,4.0,10065.0,D4,3.0,21087.0,312646.0,39.0,183.0,37465650.0,1983.0,-73.9657675,40.7632523,2
67568,1458,2.0,5.0,10065.0,RM,4.0,22003.0,328349.0,18.0,234.0,31871299.0,1958.0,-73.95800009999999,40.761619399999994,3
67576,1397,2.0,4.0,10065.0,D4,3.0,10498.0,153890.0,20.0,75.0,16208100.0,1963.0,-73.9653846,40.763757299999995,3
67628,1515,2.0,4.0,10028.0,D4,3.0,10016.0,107788.0,16.0,62.0,9217350.0,1928.0,-73.9561614,40.780049600000005,3
67719,1523,2.0,5.0,10128.0,D6,4.0,17566.0,242157.0,29.0,281.0,28366200.0,1980.0,-73.9503412,40.784370200000005,3
67750,1524,2.0,5.0,10128.0,D4,3.0,6048.0,62789.0,16.0,65.0,6305850.0,1928.0,-73.9503658,40.7853117,3
67783,1532,2.0,5.0,10028.0,D7,4.0,10315.0,256810.0,35.0,257.0,33487200.0,1986.0,-73.95346500000001,40.7788848,2
67784,1532,2.0,5.0,10028.0,D6,4.0,12300.0,222000.0,23.0,179.0,25320150.0,1991.0,-73.9533348,40.779142799999995,3
67798,1540,2.0,5.0,10128.0,RM,4.0,18125.0,246858.0,30.0,108.0,45243032.0,2016.0,-73.9497095,40.7841037,3
67816,1533,2.0,5.0,10128.0,D4,3.0,12175.0,169507.0,20.0,119.0,16695450.0,1966.0,-73.9514069,40.7788949,3
67871,1551,2.0,5.0,10128.0,RM,4.0,7755.0,159512.0,34.0,83.0,10826998.0,2015.0,-73.9483848,40.7787317,2
67877,1550,2.0,5.0,10128.0,D4,3.0,10067.0,138304.0,24.0,147.0,12558600.0,1973.0,-73.9507969,40.7786092,3
67951,1565,2.0,5.0,10028.0,D6,4.0,17850.0,205967.0,17.0,133.0,18672300.0,1931.0,-73.94843370000001,40.776159899999996,3
67952,1564,2.0,5.0,10028.0,D4,3.0,14275.0,207546.0,20.0,200.0,17605800.0,1962.0,-73.9497302,40.7758174,3
67971,1568,2.0,5.0,10128.0,D6,4.0,21359.0,227259.0,16.0,213.0,15435900.0,1964.0,-73.94787240000001,40.7783554,3
67984,1564,2.0,5.0,10028.0,RM,4.0,6133.0,96420.0,28.0,89.0,15457951.0,1986.0,-73.9499145,40.7755649,3
68015,1582,2.0,5.0,10028.0,D4,3.0,13617.0,114640.0,16.0,46.0,10219500.0,1929.0,-73.9463114,40.7752696,3
68022,1624,2.0,5.0,10029.0,I4,8.0,15046.0,126605.0,17.0,1.0,8298450.0,1966.0,-73.9517441,40.7868438,0
68486,1541,2.0,5.0,10128.0,D6,4.0,92927.0,968264.0,35.0,1097.0,94179150.0,1986.0,-73.9482505,40.7842595,2
68515,1581,2.0,5.0,10028.0,D8,3.0,17575.0,242032.0,23.0,236.0,19938150.0,1968.0,-73.9475249,40.774831,3
69599,2811,9.0,15.0,10457.0,D3,3.0,25128.0,136928.0,16.0,215.0,2792250.0,1972.0,-73.9033886,40.850554100000004,3
69658,2824,9.0,16.0,10457.0,I4,8.0,20487.0,243426.0,20.0,156.0,5755050.0,1923.0,-73.91009609999999,40.843437,0
70217,2880,9.0,16.0,10453.0,D3,3.0,34400.0,119919.0,18.0,101.0,1712700.0,1969.0,-73.9244188,40.8469907,3
70251,2880,9.0,16.0,10453.0,D3,3.0,62625.0,272370.0,20.0,227.0,5072400.0,1974.0,-73.9212949,40.8509519,3
70255,2880,9.0,16.0,10453.0,D3,3.0,29800.0,146286.0,18.0,125.0,2306250.0,1967.0,-73.92195759999998,40.849923100000005,3
70312,2944,12.0,15.0,10457.0,D3,3.0,113700.0,286346.0,20.0,281.0,8491050.0,1962.0,-73.894317,40.843014600000004,3
70325,2894,9.0,16.0,10456.0,D3,3.0,280552.0,758564.0,21.0,749.0,11785950.0,1963.0,-73.907325,40.8348631,3
70326,2895,9.0,16.0,10456.0,D3,3.0,375012.0,753113.0,21.0,743.0,14043600.0,1963.0,-73.9060245,40.837120899999995,3
70330,2901,9.0,16.0,10456.0,D3,3.0,231956.0,572187.0,16.0,546.0,11333250.0,1964.0,-73.9058513,40.834387,3
71037,1624,2.0,5.0,10029.0,D9,3.0,40873.0,509090.0,29.0,526.0,54751050.0,1990.0,-73.9496288,40.785712100000005,3
71942,250,13.0,33.0,11201.0,D7,4.0,5000.0,65479.0,19.0,63.0,7735050.0,2013.0,-73.9921855,40.693974,1
73100,4161,8.0,13.0,10461.0,D3,3.0,128570.0,326000.0,18.0,285.0,7956450.0,1968.0,-73.8348302,40.8461287,3
73562,4425,11.0,15.0,10467.0,D4,3.0,72200.0,183600.0,20.0,172.0,4732200.0,1963.0,-73.8689296,40.861982,3
74289,5263,11.0,12.0,10475.0,D9,3.0,412500.0,264960.0,18.0,307.0,6980850.0,1967.0,-73.83402070000001,40.8823164,3
75735,5716,10.0,11.0,10463.0,D4,3.0,68125.0,466400.0,20.0,339.0,13309200.0,1967.0,-73.91773149999999,40.876760600000004,3
75769,5722,10.0,11.0,10463.0,D4,3.0,90950.0,539000.0,25.0,412.0,13072500.0,1966.0,-73.916862,40.8780857,3
75770,5722,10.0,11.0,10463.0,D7,4.0,214025.0,844578.0,30.0,589.0,32082750.0,1975.0,-73.9147422,40.8786797,3
75777,5901,10.0,11.0,10463.0,D4,3.0,133575.0,718399.0,22.0,441.0,23008500.0,1970.0,-73.9145382,40.8854672,3
78464,4435,19.0,42.0,11239.0,D3,3.0,358496.0,997720.0,20.0,1092.0,29204550.0,1971.0,-73.8823961,40.6535742,1
78469,4452,19.0,42.0,11239.0,D3,3.0,883293.0,1485000.0,17.0,1164.0,40534200.0,1972.0,-73.8800955,40.644247799999995,1
82864,8721,21.0,48.0,11235.0,D4,3.0,67805.0,404149.0,20.0,383.0,14376150.0,1962.0,-73.9561869,40.576648299999995,1
87209,2133,28.0,29.0,11375.0,D4,3.0,39053.0,272000.0,28.0,244.0,10835550.0,1964.0,-73.8497698,40.7286881,1
87549,1566,2.0,5.0,10028.0,D4,3.0,14275.0,153347.0,16.0,155.0,15425550.0,1961.0,-73.947585,40.776431200000005,3
92726,5137,25.0,20.0,11355.0,D7,4.0,73970.0,342705.0,26.0,322.0,10603350.0,1965.0,-73.8245437,40.7529518,1
104634,8489,26.0,23.0,11005.0,D4,3.0,4228300.0,3750565.0,34.0,1866.0,155994300.0,1972.0,-73.71421529999999,40.7567794,1
125088,1373,2.0,5.0,10044.0,D3,3.0,35918.0,211000.0,16.0,258.0,17929800.0,103.0,-73.9513736,40.76009620000001,3
125097,315,1.0,1.0,10002.0,D4,3.0,211025.0,1054290.0,20.0,880.0,62802000.0,1960.0,-73.98590279999999,40.715056,3
125149,2880,9.0,16.0,10453.0,D7,4.0,102000.0,416144.0,25.0,768.0,11925900.0,1972.0,-73.92365490000002,40.8481375,3
125449,1114,3.0,3.0,10023.0,RM,4.0,17800.0,138506.0,27.0,122.0,31625107.0,1987.0,-73.9826382,40.7705132,3
125470,1171,3.0,6.0,10069.0,RM,4.0,29770.0,322451.0,31.0,343.0,46685711.0,2004.0,-73.98692890000001,40.7803043,3
125509,5137,25.0,20.0,11355.0,D7,4.0,77351.0,317277.0,24.0,325.0,10535400.0,1965.0,-73.82355290000001,40.7536255,1
125678,5938,25.0,19.0,11360.0,D4,3.0,251000.0,324260.0,16.0,290.0,11416050.0,1969.0,-73.7759425,40.7856041,1
125810,4452,19.0,42.0,11239.0,D3,3.0,618307.0,1493793.0,20.0,1168.0,41488650.0,1972.0,-73.88476949999999,40.650357,1
125815,4452,19.0,42.0,11239.0,D3,3.0,1073857.0,1688760.0,20.0,1463.0,60128550.0,1970.0,-73.8814722,40.6502301,1
125981,2548,7.0,8.0,10454.0,D1,3.0,22500.0,217360.0,16.0,125.0,3505950.0,1961.0,-73.9159755,40.804115100000004,3
126492,5026,17.0,40.0,11225.0,D6,4.0,52265.0,224082.0,23.0,257.0,18072000.0,2014.0,-73.9610607,40.657561,1
126934,1524,2.0,4.0,10128.0,D3,3.0,12533.0,165834.0,16.0,86.0,14947650.0,1925.0,-73.95249229999999,40.7858862,3
126946,1294,2.0,4.0,10022.0,O6,5.0,35146.0,535344.0,16.0,2.0,133856550.0,1956.0,-73.97122209999999,40.763122100000004,0
126949,1312,2.0,4.0,10022.0,O4,5.0,26731.0,397354.0,32.0,41.0,83303100.0,1987.0,-73.96936740000001,40.7613869,0
126950,1375,2.0,4.0,10065.0,H7,3.0,27113.0,515755.0,41.0,4.0,56063250.0,1930.0,-73.9716797,40.7650874,2
126951,1376,2.0,4.0,10065.0,D4,3.0,11715.0,156390.0,17.0,36.0,16445700.0,1917.0,-73.9689724,40.764765600000004,3
126954,1377,2.0,4.0,10065.0,H1,5.0,5874.0,69725.0,17.0,2.0,16608600.0,1926.0,-73.96924270000001,40.7656989,0
127091,430,1.0,2.0,10009.0,D4,3.0,64082.0,147730.0,16.0,156.0,11189700.0,1964.0,-73.98694,40.723866799999996,3
127141,1523,2.0,4.0,10128.0,D4,3.0,17616.0,210988.0,18.0,149.0,20301300.0,1961.0,-73.95286829999999,40.7852304,3
127224,1565,2.0,5.0,10028.0,D4,3.0,19325.0,384646.0,37.0,317.0,38443050.0,1973.0,-73.9478852,40.775879700000004,2
127235,1394,2.0,4.0,10022.0,D4,3.0,24100.0,325173.0,33.0,236.0,38385900.0,1963.0,-73.9686484,40.762811299999996,3
127244,1502,2.0,4.0,10128.0,D4,3.0,12100.0,159372.0,16.0,47.0,22970250.0,1927.0,-73.9554335,40.7833403,3
127304,1565,2.0,5.0,10028.0,D4,3.0,19200.0,193836.0,17.0,149.0,13321800.0,1968.0,-73.94933259999999,40.7763826,3
127307,1272,2.0,4.0,10019.0,D6,4.0,19518.0,303642.0,20.0,250.0,32659200.0,1963.0,-73.9771384,40.763837,3
127308,1272,2.0,4.0,10019.0,O4,5.0,40166.0,712000.0,36.0,43.0,173005200.0,1972.0,-73.9763588,40.7635487,2
127309,1272,2.0,4.0,10019.0,RC,5.0,26360.0,346858.0,25.0,59.0,146815201.0,1921.0,-73.9747238,40.7628622,0
127310,1273,2.0,4.0,10019.0,O6,5.0,9950.0,143914.0,18.0,93.0,23336550.0,1928.0,-73.9767123,40.764471,0
127311,1273,2.0,4.0,10019.0,O4,5.0,62058.0,1698259.0,49.0,31.0,530128800.0,1971.0,-73.9749905,40.763886,2
127313,1274,2.0,4.0,10019.0,H1,5.0,20275.0,442000.0,43.0,4.0,54757350.0,1972.0,-73.9753801,40.7648111,2
127316,1293,2.0,4.0,10151.0,O4,5.0,21942.0,459340.0,34.0,55.0,112709700.0,1930.0,-73.97318220000001,40.76324879999999,2
127317,1294,2.0,4.0,10022.0,D4,3.0,25105.0,375239.0,19.5,142.0,43624800.0,1929.0,-73.9707313,40.7627322,3
127462,1625,2.0,5.0,10029.0,D6,4.0,28572.0,308257.0,18.0,302.0,34558650.0,2008.0,-73.9505559,40.787032700000005,3
127575,1515,2.0,5.0,10128.0,D8,3.0,13013.0,154952.0,19.0,59.0,23836950.0,2018.0,-73.95478229999999,40.779791100000004,3
127635,412,1.0,1.0,10002.0,D8,3.0,26135.0,209499.0,23.0,245.0,26364600.0,2006.0,-73.9869728,40.7218906,3
127694,1456,2.0,5.0,10065.0,D4,3.0,11547.0,166078.0,19.0,148.0,12434400.0,1960.0,-73.9588275,40.7604834,3
127785,1531,2.0,5.0,10028.0,D7,4.0,10216.0,81100.0,26.0,111.0,9350550.0,1986.0,-73.9530288,40.777935,3
127788,1533,2.0,5.0,10128.0,D6,4.0,35722.0,510306.0,30.0,418.0,72144450.0,1975.0,-73.95283979999999,40.7796147,3
127792,1547,2.0,5.0,10028.0,D4,3.0,11850.0,218170.0,40.0,202.0,21384450.0,1987.0,-73.952051,40.7768641,2
128044,3334,28.0,29.0,11375.0,D4,3.0,85108.0,213654.0,20.0,206.0,9689400.0,1973.0,-73.83496099999999,40.71330820000001,1
128129,1500,2.0,4.0,10128.0,D4,3.0,13982.0,160357.0,16.0,105.0,19131300.0,1937.0,-73.9580664,40.782493200000005,3
128218,1369,2.0,5.0,10022.0,D4,3.0,10450.0,118305.0,17.0,104.0,12098700.0,1959.0,-73.9623625,40.7584205,3
128219,1368,2.0,5.0,10022.0,D1,3.0,18450.0,290482.0,19.0,269.0,27436500.0,1931.0,-73.96288990000001,40.7578196,3
128222,1505,2.0,4.0,10128.0,RM,4.0,22102.0,302439.0,32.0,212.0,37218631.0,1984.0,-73.95496259999999,40.7855222,2
128247,1582,2.0,5.0,10028.0,D4,3.0,9996.0,123333.0,21.0,94.0,10109250.0,1958.0,-73.9467482,40.7754565,3
128249,1602,2.0,4.0,10128.0,D4,3.0,10183.0,141058.0,19.0,80.0,10991250.0,1939.0,-73.95371180000001,40.787346899999996,3
128252,1602,2.0,4.0,10128.0,D4,3.0,8578.0,85290.0,16.0,67.0,4971600.0,1924.0,-73.9543581,40.7876189,3
128294,1612,4.0,9.0,10029.0,D7,4.0,72492.0,532700.0,24.0,452.0,10946250.0,1974.0,-73.949969,40.7943005,3
128308,1566,2.0,5.0,10028.0,RM,4.0,9490.0,149171.0,39.0,143.0,23308212.0,1986.0,-73.94717709999999,40.7763542,2
128641,5026,17.0,40.0,11225.0,D3,3.0,37577.0,234132.0,16.0,224.0,6340950.0,1962.0,-73.9612218,40.6594413,1
128662,5026,17.0,40.0,11225.0,D3,3.0,47921.0,315184.0,16.0,272.0,7560450.0,1962.0,-73.9612148,40.6589856,1
129157,1373,2.0,5.0,10044.0,H2,5.0,18555.0,142554.0,19.0,197.0,12318750.0,2018.0,-73.9555673,40.7559424,0
129222,1964,5.0,7.0,10027.0,D7,4.0,339250.0,705584.0,21.0,814.0,30956400.0,1955.0,-73.9560647,40.811723799999996,3
129658,1293,2.0,4.0,10022.0,O4,5.0,12900.0,322756.0,42.0,12.0,74074500.0,1929.0,-73.9718289,40.762348200000005,2
129665,1293,2.0,4.0,10022.0,O4,5.0,13500.0,254185.0,22.0,2.0,51158700.0,1954.0,-73.9710132,40.762026899999995,0
130443,5893,25.0,19.0,11360.0,R4,3.0,123373.0,960850.0,21.0,1037.0,46791478.0,1983.0,-73.7810506,40.778409,1
130961,1311,2.0,4.0,10022.0,I7,8.0,9275.0,135689.0,17.0,151.0,18318150.0,2018.0,-73.9692271,40.7603357,0
130962,1507,2.0,4.0,10128.0,D4,3.0,10066.0,114003.0,17.0,73.0,9771300.0,1929.0,-73.9537376,40.7867376,3
131635,75,2.0,1.0,10038.0,D8,3.0,33294.0,541000.0,31.0,579.0,58627800.0,1973.0,-74.0047358,40.7074098,3
131636,75,2.0,1.0,10038.0,O4,5.0,31876.0,296076.0,26.0,98.0,14706000.0,1929.0,-74.0055546,40.707763899999996,0
131637,70,2.0,1.0,10038.0,D6,4.0,23555.0,487950.0,29.0,573.0,60690150.0,1971.0,-74.0055437,40.706995299999996,3
