,borough,block,schooldist,council,zipcode,bldgclass,landuse,lotarea,bldgarea,numfloors,unitstotal,assesstot,yearbuilt,longitude,latitude,Cluster
201488,MN,1282,2.0,4.0,10017.0,O4,5.0,43313.0,1174988.0,44.0,3.0,253474200.0,1999.0,-73.9767262,40.7554682,0
201490,MN,1278,2.0,4.0,10017.0,O4,5.0,43313.0,874744.0,26.0,2.0,122128200.0,1914.0,-73.9780948,40.7535911,0
201498,MN,1271,2.0,4.0,10019.0,O4,5.0,14059.0,311501.0,32.0,87.0,52130250.0,1971.0,-73.97747079999999,40.7632744,0
201507,MN,1276,2.0,4.0,10017.0,O4,5.0,20737.0,600000.0,26.0,4.0,103313250.0,1981.0,-73.9783047,40.7519278,0
201510,MN,1276,2.0,4.0,10017.0,O4,5.0,7325.0,132961.0,21.0,132.0,15457050.0,1917.0,-73.9807334,40.7531524,0
201517,MN,1279,2.0,4.0,10017.0,O4,5.0,16550.0,332312.0,36.0,75.0,38330100.0,1927.0,-73.97942629999999,40.7548375,0
201521,MN,1275,2.0,4.0,10017.0,O4,5.0,11341.0,201387.0,26.0,8.0,42642450.0,1988.0,-73.98135450000001,40.752230299999994,0
201528,MN,1284,2.0,4.0,10017.0,O4,5.0,11675.0,228064.0,24.0,14.0,37290600.0,1955.0,-73.97605809999999,40.75666210000001,0
201531,MN,1283,2.0,4.0,10017.0,H9,5.0,7531.0,115924.0,32.0,1.0,14542200.0,2017.0,-73.97735390000001,40.75660739999999,0
201534,MN,1286,2.0,4.0,10022.0,O4,5.0,5020.0,74455.0,21.0,2.0,8265600.0,2013.0,-73.9744369,40.7579435,0
201535,MN,1284,2.0,4.0,10017.0,O4,5.0,24775.0,386166.0,28.0,35.0,91664100.0,1962.0,-73.9750944,40.756417600000006,0
201540,MN,1275,2.0,4.0,10016.0,O4,5.0,4735.0,102079.0,23.0,28.0,15693300.0,1918.0,-73.9803909,40.751758,0
201552,MN,1287,2.0,4.0,10022.0,O4,5.0,21600.0,391114.0,23.0,7.0,55851300.0,1950.0,-73.97524150000001,40.7588879,0
